probe,mitigation,condition,setting,macro_auroc,f1,cosine_drift,l2_drift,model
clean_probe,none,clean,clean_probe,0.8908997549060175,0.2253972740171793,-3.5762786065873797e-09,0.0,MAE-H/300
clean_probe,none,noise_sigma=0.05,clean_probe,0.7711017507430554,0.1572965781797551,0.1685663759708404,9.792192459106444,MAE-H/300
clean_probe,none,noise_sigma=0.10,clean_probe,0.6182348412702018,0.1172766485359735,0.3191276490688324,15.1441011428833,MAE-H/300
clean_probe,none,brightness=-0.20,clean_probe,0.875582449224564,0.2914982587659568,0.0275854114443063,3.5837793350219727,MAE-H/300
clean_probe,none,brightness=+0.20,clean_probe,0.8119245378375834,0.1907604926666291,0.0220361892133951,3.3502004146575928,MAE-H/300
clean_probe,none,contrast=0.50,clean_probe,0.8184294163718115,0.2117142329902256,0.0437420159578323,5.428461074829102,MAE-H/300
clean_probe,none,contrast=1.50,clean_probe,0.8421583908297998,0.2210265950848119,0.0194955095648765,3.1454880237579346,MAE-H/300
clean_probe,gaussian_smooth,noise_sigma=0.05,clean_probe,0.8324787179844465,0.2292933581962023,0.0511791072785854,5.240373134613037,MAE-H/300
clean_probe,gaussian_smooth,noise_sigma=0.10,clean_probe,0.7306543755453755,0.1601557135448356,0.0946854576468467,7.335643768310547,MAE-H/300
clean_probe,median_filter,noise_sigma=0.05,clean_probe,0.8274214647121992,0.2182205498009158,0.0473597198724746,5.1765899658203125,MAE-H/300
clean_probe,median_filter,noise_sigma=0.10,clean_probe,0.7386387072124077,0.1390699776057705,0.1380932033061981,9.006325721740723,MAE-H/300
robust_probe,train_aug,clean,robust_probe,0.8905794962821054,0.2266508875451469,-3.5762786065873797e-09,0.0,MAE-H/300
robust_probe,train_aug,noise_sigma=0.05,robust_probe,0.8242371560159568,0.1090110189425301,0.1685229837894439,9.790730476379396,MAE-H/300
robust_probe,train_aug,noise_sigma=0.10,robust_probe,0.6455840179151175,0.0971655723814211,0.3191038072109222,15.14298152923584,MAE-H/300
robust_probe,train_aug,brightness=-0.20,robust_probe,0.8795700985536695,0.2682992894260225,0.0275854114443063,3.5837793350219727,MAE-H/300
robust_probe,train_aug,brightness=+0.20,robust_probe,0.8635125152895744,0.2023494719644357,0.0220361892133951,3.3502004146575928,MAE-H/300
robust_probe,train_aug,contrast=0.50,robust_probe,0.8707194427965553,0.2026470666664757,0.0437420159578323,5.428461074829102,MAE-H/300
robust_probe,train_aug,contrast=1.50,robust_probe,0.8773541753481884,0.2250457076238741,0.0194955095648765,3.1454880237579346,MAE-H/300
