model,condition,perturbation,x_value,macro_auroc,f1,auroc_drop,f1_drop,cosine_drift,l2_drift
MAE-H/97,contrast/factor=0.5,contrast,0.5,0.8812719482611653,0.2384920990107836,0.0138415975235416,0.0071524239681899,0.0358596704900264,6.343826770782471
MAE-H/97,clean,contrast,1.0,0.8951135457847069,0.2456445229789736,0.0,0.0,0.0,0.0
MAE-H/97,contrast/factor=1.5,contrast,1.5,0.8222112861740581,0.2538297869164456,0.0729022596106487,-0.0081852639374719,0.0152930803596973,3.516044855117798
MAE-H/97,contrast/factor=2.0,contrast,2.0,0.7725029928457717,0.2418503169102119,0.1226105529389351,0.0037942060687616,0.0397953651845455,5.485202312469482
MAE-H/97,clean,gaussian_blur,0.0,0.8951135457847069,0.2456445229789736,0.0,0.0,0.0,0.0
MAE-H/97,gaussian_blur/sigma=0.5,gaussian_blur,0.5,0.8905471201504309,0.206444647364043,0.004566425634276,0.0391998756149305,0.0067061558365821,2.2357892990112305
MAE-H/97,gaussian_blur/sigma=1.0,gaussian_blur,1.0,0.8037290916561352,0.217383957585474,0.0913844541285717,0.0282605653934995,0.1112797409296035,9.292924880981444
MAE-H/97,gaussian_blur/sigma=2.0,gaussian_blur,2.0,0.7429033696208928,0.1408772396969186,0.1522101761638141,0.104767283282055,0.2443892061710357,14.951757431030272
MAE-H/97,gaussian_blur/sigma=3.0,gaussian_blur,3.0,0.7492292547362207,0.1256615025370951,0.1458842910484862,0.1199830204418785,0.2732323408126831,16.560277938842773
MAE-H/97,clean,gaussian_noise,0.0,0.8951135457847069,0.2456445229789736,0.0,0.0,0.0,0.0
MAE-H/97,gaussian_noise/sigma=0.05,gaussian_noise,0.05,0.7880360083897302,0.1707474167538432,0.1070775373949767,0.0748971062251303,0.1419417262077331,10.998278617858888
MAE-H/97,gaussian_noise/sigma=0.10,gaussian_noise,0.1,0.6465991079687032,0.0848580621363236,0.2485144378160036,0.1607864608426499,0.3185553252696991,18.039352416992188
MAE-H/97,gaussian_noise/sigma=0.20,gaussian_noise,0.2,0.5210018934025088,0.056639611650492,0.3741116523821981,0.1890049113284815,0.4360898435115814,22.162078857421875
MAE-H/97,gaussian_noise/sigma=0.30,gaussian_noise,0.3,0.5132097337537461,0.0646904479507769,0.3819038120309608,0.1809540750281967,0.4970503449440002,24.06253433227539
